,tau2,tau3,tau4
121,36.90047872066498,10000.0,10000.0
122,10000.0,10000.0,40.40035939216614
123,43.60048866271973,10000.0,10000.0
124,10000.0,10000.0,10000.0
125,26.90022373199463,10000.0,10000.0
126,10000.0,31.400070309638977,10000.0
127,10000.0,10000.0,30.800567507743835
128,10000.0,33.8004652261734,10000.0
129,10000.0,10000.0,10000.0
130,10000.0,10000.0,42.8001583814621
131,10000.0,10000.0,37.60009729862213
132,10000.0,10.400190353393555,6.300210952758789
133,49.500168323516846,10000.0,10000.0
134,10000.0,37.20023012161255,10000.0
135,40.000492215156555,10000.0,10000.0
136,10000.0,10000.0,13.800551176071167
137,10000.0,10000.0,45.40018892288208
138,10000.0,10000.0,2.0
139,10000.0,10000.0,7.200061082839966
140,10000.0,10000.0,10000.0
141,10000.0,2.0,10000.0
142,10000.0,10000.0,10000.0
143,10000.0,45.0003217458725,2.0
144,10000.0,10000.0,10000.0
145,10000.0,10000.0,2.0
146,57.20014417171478,10000.0,10000.0
147,33.30048227310181,10000.0,10000.0
148,10000.0,46.90013778209686,10000.0
149,58.60057318210602,3.700180411338806,10000.0
150,20.900428295135498,17.40054762363434,10000.0
151,10000.0,10000.0,10000.0
152,10000.0,4.100047588348389,2.0
153,10000.0,30.900087356567383,12.400122165679932
154,10000.0,10000.0,45.80005609989166
155,10000.0,10000.0,10000.0
156,10000.0,15.30050003528595,2.0
157,10000.0,10000.0,33.10025072097778
158,10000.0,41.2000937461853,10000.0
159,10000.0,45.20055329799652,10000.0
160,55.30032813549042,10000.0,10000.0
161,10000.0,5.9003437757492065,4.900377869606018
162,10000.0,10000.0,10000.0
163,10000.0,10000.0,38.100080251693726
164,10000.0,3.500544786453247,36.50001561641693
165,10000.0,10000.0,2.2002315521240234
166,10000.0,10000.0,11.400156259536743
167,10000.0,10000.0,41.2000937461853
168,10000.0,10000.0,39.00052630901337
169,10000.0,42.500406980514526,10000.0
170,56.60004544258118,10000.0,10000.0
171,10000.0,10000.0,2.0
172,10000.0,10000.0,8.000391364097595
173,10000.0,10000.0,31.600301861763
174,10000.0,13.900071024894714,10000.0
175,10000.0,10000.0,10000.0
176,10000.0,10000.0,9.400224447250366
177,10000.0,10000.0,16.100234389305115
178,10000.0,10000.0,18.700264930725098
179,10000.0,10000.0,10000.0
180,19.400479435920715,10000.0,10000.0
181,15.30050003528595,10000.0,10000.0
182,10000.0,10000.0,10000.0
183,10000.0,10000.0,2.0
184,10000.0,10000.0,10000.0
185,10000.0,10000.0,7.400292634963989
186,10000.0,10000.0,25.000407695770264
187,10000.0,10000.0,6.10057532787323
188,3.800296187400818,4.5005106925964355,8.600490093231201
189,10000.0,10000.0,10000.0
190,6.400326728820801,20.500561118125916,16.100234389305115
191,10000.0,10000.0,6.800193905830383
192,10000.0,10000.0,37.00059449672699
193,10000.0,10000.0,10000.0
194,10000.0,58.80020880699158,10000.0
195,7.800159811973572,10000.0,10000.0
196,10000.0,10000.0,10000.0
197,10000.0,2.0,2.0
198,10000.0,10000.0,10000.0
199,10000.0,13.800551176071167,22.60001277923584
200,10000.0,32.400036215782166,10000.0
201,10000.0,10000.0,23.900326013565063
202,10000.0,18.200281977653503,27.600438237190247
203,10000.0,10000.0,30.30058455467224
204,10000.0,10000.0,38.80029475688934
205,18.600149154663086,10000.0,10000.0
