,tau?,xMax?,yMin?
388,60,5.03125,4.6875
389,60,13.96875,4.6875
390,60,10.53125,10.53125
391,60,10.875,11.5625
392,60,5.375,4.6875
393,60,7.09375,4.6875
394,60,8.46875,7.4375
395,60,5.03125,4.6875
396,60,5.03125,4.6875
397,60,10.1875,9.84375
398,60,5.03125,9.15625
399,60,5.71875,4.6875
400,60,5.03125,4.6875
401,60,11.21875,10.1875
402,60,10.1875,4.6875
403,60,11.5625,9.84375
404,60,5.71875,4.6875
405,60,5.03125,4.6875
406,60,5.03125,11.5625
407,60,5.375,4.6875
408,60,5.03125,4.6875
409,60,5.375,4.6875
410,60,5.03125,4.6875
411,60,5.71875,4.6875
412,60,10.1875,4.6875
413,60,5.71875,4.6875
414,60,13.625,4.6875
415,60,5.375,4.6875
416,60,5.375,4.6875
417,60,5.03125,4.6875
418,60,5.03125,4.6875
419,60,5.03125,9.5
420,60,13.625,4.6875
421,60,6.0625,6.75
422,60,5.03125,4.6875
423,60,5.375,4.6875
424,60,5.03125,4.6875
425,60,5.71875,4.6875
426,60,5.375,4.6875
427,60,5.03125,4.6875
428,60,5.03125,4.6875
429,60,5.03125,4.6875
430,60,13.96875,4.6875
431,60,10.53125,10.53125
432,60,5.03125,4.6875
433,60,5.03125,4.6875
434,60,5.03125,4.6875
435,60,11.90625,9.5
436,60,5.375,5.375
437,60,5.03125,4.6875
438,60,5.03125,4.6875
439,60,5.03125,4.6875
440,60,5.03125,4.6875
441,60,8.125,7.4375
442,60,8.8125,4.6875
443,60,5.03125,4.6875
444,60,5.375,4.6875
445,60,5.03125,4.6875
446,60,5.03125,4.6875
447,60,5.375,9.5
448,60,5.03125,4.6875
449,60,5.375,4.6875
450,60,5.03125,4.6875
451,60,5.03125,4.6875
452,60,5.375,4.6875
453,60,5.03125,4.6875
454,60,10.875,11.5625
455,60,5.03125,10.1875
456,60,11.21875,9.84375
457,60,11.90625,9.5
458,60,5.375,4.6875
459,60,5.375,4.6875
460,60,11.5625,4.6875
461,60,5.03125,4.6875
462,60,12.25,8.8125
463,60,5.375,4.6875
464,60,5.03125,4.6875
465,60,10.875,9.5
466,60,5.375,4.6875
467,60,5.375,4.6875
468,60,5.03125,4.6875
469,60,5.03125,5.71875
470,60,5.03125,5.03125
471,60,9.15625,7.78125
472,60,5.03125,4.6875
473,60,13.625,6.0625
474,60,5.03125,4.6875
475,60,5.375,9.84375
476,60,5.375,4.6875
477,60,5.03125,5.03125
478,60,5.375,4.6875
479,60,5.375,4.6875
480,60,5.375,4.6875
481,60,5.03125,4.6875
482,60,13.96875,6.0625
483,60,5.375,4.6875
484,60,5.375,4.6875
485,60,10.53125,10.53125
486,60,5.03125,9.84375
487,60,5.375,4.6875
488,60,9.15625,7.09375
489,60,5.375,4.6875
490,60,5.375,4.6875
491,60,5.03125,5.71875
492,60,5.375,4.6875
493,60,5.375,4.6875
494,60,11.90625,9.5
495,60,10.53125,10.53125
496,60,10.53125,9.5
497,60,5.03125,4.6875
498,60,5.03125,4.6875
499,60,5.375,4.6875
500,60,5.375,4.6875
501,60,5.03125,4.6875
502,60,5.03125,10.1875
503,60,5.375,4.6875
504,60,5.03125,4.6875
505,60,5.375,4.6875
506,60,5.03125,4.6875
507,60,11.21875,4.6875
508,60,5.03125,4.6875
509,60,5.375,4.6875
510,60,6.0625,7.78125
511,60,5.375,9.84375
512,60,5.71875,4.6875
513,60,5.03125,9.5
514,60,5.375,4.6875
515,60,5.71875,4.6875
516,60,5.375,4.6875
517,60,5.03125,4.6875
518,60,10.53125,8.8125
519,60,5.03125,4.6875
520,60,13.28125,4.6875
521,60,5.03125,4.6875
522,60,5.375,4.6875
523,60,5.71875,4.6875
524,60,6.0625,4.6875
525,60,10.875,10.1875
526,60,5.03125,4.6875
527,60,5.03125,4.6875
528,60,5.03125,4.6875
529,60,5.375,11.5625
530,60,5.03125,4.6875
531,60,10.1875,4.6875
532,60,6.75,4.6875
533,60,5.03125,4.6875
534,60,5.03125,4.6875
535,60,6.0625,7.09375
536,60,11.21875,4.6875
537,60,5.03125,4.6875
538,60,5.71875,4.6875
539,60,5.375,4.6875
540,60,5.375,4.6875
541,60,5.375,4.6875
542,60,5.375,4.6875
543,60,5.03125,4.6875
544,60,5.375,4.6875
545,60,6.40625,4.6875
546,60,5.03125,9.5
547,60,5.03125,4.6875
548,60,5.375,4.6875
549,60,5.375,4.6875
550,60,5.03125,4.6875
551,60,5.03125,4.6875
552,60,5.375,4.6875
553,60,5.03125,4.6875
554,60,5.03125,4.6875
555,60,5.375,4.6875
556,60,9.84375,4.6875
557,60,5.375,4.6875
558,60,5.03125,4.6875
559,60,5.03125,4.6875
560,60,14.3125,5.03125
561,60,5.03125,4.6875
562,60,5.375,4.6875
563,60,11.5625,4.6875
564,60,5.03125,4.6875
565,60,5.375,4.6875
566,60,13.96875,6.0625
567,60,5.03125,4.6875
568,60,5.03125,4.6875
569,60,5.03125,4.6875
570,60,5.03125,4.6875
571,60,5.03125,5.03125
572,60,5.03125,4.6875
573,60,5.375,4.6875
574,60,5.71875,12.9375
575,60,5.71875,4.6875
576,60,5.375,4.6875
577,60,5.03125,4.6875
578,60,5.375,10.1875
579,60,5.375,4.6875
